,_RAJ2000,_DEJ2000,WDS,Name,HD,HIP,Date,PA,Sep,Dmag,Wave,FWHM,f_FWHM,SimbadName,_RA,_DE,Simbad plx,GAIA plx,V,R,J,H,K
595,14 40 04.2562,+02 45 38.728,14401+0246,BD+03 2919 ,      , 71706,2007.4231,75.9,0.426, 1.29,754,44, ,HIP  71706,220.01772999999997,2.76076,2.2545,2.254482035003874,8.699999809265138,,7.778999805450439,7.576000213623048,7.5229997634887695
597,14 44 21.0363,-25 53 41.895,14444-2554,CD-25 10504,129636, 72058,2007.423,239.9,0.278, 1.92,754,44, ,HIP  72058,221.08765,-25.89497,4.558,4.5579795039142175,9.220000267028807,,8.524999618530272,8.381999969482424,8.324000358581543
598,14 45 57.3946,+47 22 53.231,14460+4723,BD+47 2174 ,      , 72191,2007.4231,313.4,0.613, 0.47,754,44, ,HIP  72191,221.48914,47.38145,,,,,,,
600,14 49 18.0996,+49 50 15.953,14493+4950,BD+50 2120 ,130986, 72486,2007.4176,345.7,1.053,     ,698,39, ,HIP  72486,222.32541,49.837759999999996,3.55,-0.7845042177608577,4.64,,5.202000000000001,5.322,5.34
602,14 52 03.2419,+46 28 35.836,14521+4629,BD+47 2180 ,131446, 72718,2007.3221,50.1,0.47600000000000003, 3.62,754,44, ,HIP  72718,223.01351,46.476620000000004,6.9682,6.96816364401397,7.570000171661378,,6.984000205993652,6.86899995803833,6.821000099182129
608,14 56 29.9343,+17 06 11.596,14565+1706,BD+17 2803 ,132031, 73106,2008.4606,338.2,0.34700000000000003, 3.11,550,40, ,HIP  73106,224.12472999999997,17.10322,,,,,,,
610,15 00 34.9964,+08 36 00.592,15006+0836,BD+09 2983 ,132756, 73449,2007.3275,338.6,0.086, 0.00,550,40, ,HIP  73449,225.14582000000001,8.60016,10.2253,10.225251314303039,9.239999771118164,,8.015000343322754,7.710999965667725,7.660999774932861
614,15 00 55.5793,+45 25 34.346,15009+4526,BD+45 2247 ,      , 73470,2007.4231,173.5,1.6569999999999998,     ,754,44, ,HIP  73470,225.23157999999998,45.42621,,,,,,,
618,15 06 56.0706,+14 05 52.256,15069+1406,BD+14 2837 ,133967, 73967,2007.3275,299.1,0.723,     ,550,40, ,HIP  73967,226.73362999999998,14.09785,,,,,,,
619,15 15 11.3520,+04 56 21.710,15152+0456,BD+05 2985 ,135482, 74649,2007.3275,274.2,0.20199999999999999, 2.43,550,40, ,HIP  74649,228.7973,4.93936,13.5802,13.580226283658927,7.039999961853027,,6.304999828338622,6.183000087738037,6.079999923706055
623,15 20 52.9215,+45 39 53.540,15209+4540,BD+46 2059 ,136795, 75107,2008.0701,280.0,0.713,     ,698,39, ,HIP  75107,230.22051000000002,45.66487,18.82,,8.95,8.48,6.774,6.457000000000001,6.348
626,15 20 59.6323,+21 04 06.319,15210+2104,ADS 9600   ,136596, 75117,2008.4606,125.2,0.705,     ,550,40, ,HIP  75117,230.24847000000003,21.06842,,,,,,,
628,15 21 12.8389,+05 22 58.672,15212+0523,BD+05 2993 ,136565, 75133,2007.3275,270.2,0.45299999999999996, 2.70,550,40, ,HIP  75133,230.3035,5.38296,14.38,,,6.0,5.361000000000001,5.15,5.0760000000000005
631,15 22 35.0344,+72 54 15.639,15226+7254,BD+73 673  ,137825, 75248,2007.4231,158.8,0.147, 1.60,754,44, ,HIP  75248,230.64597999999998,72.90434,,,,,,,
633,15 23 12.3053,+30 17 16.170,15232+3017,ADS 9617   ,137107, 75312,2008.4634,150.8,0.534, 0.48,698,39, ,HIP  75312,230.80127000000002,30.28782,,,,,,,
634,15 24 19.3388,+02 47 49.713,15243+0248,BD+03 3020 ,137149, 75392,2007.3276,1.5,0.614, 3.11,550,40, ,HIP  75392,231.08057999999997,2.79714,44.4117,44.41171368637084,9.156999588012695,8.442999839782715,6.902999877929688,6.368000030517577,6.190000057220459
637,15 28 13.6475,-06 26 16.193,15282-0626,BD-05 4081 ,137795, 75728,2007.4259,16.8,0.265, 2.21,550,40, ,HIP  75728,232.05686,-6.43783,5.74,9.239691790280013,6.53,,4.925,4.289,4.363
638,15 30 44.9515,+38 09 48.463,15307+3810,ADS 9682   ,138439, 75949,2007.4176,162.1,0.203, 0.38,698,39, ,HIP  75949,232.6873,38.16346,,,,,,,
639,15 31 46.9818,+40 53 57.612,15318+4054,ADS 9688   ,138629, 76041,2007.4176,196.2,0.057, 1.60,698,39, ,HIP  76041,232.94576,40.89934,16.9669,16.966949068154435,7.6599998474121085,,6.665999889373778,6.3979997634887695,6.3309998512268075
641,15 33 56.7963,-17 00 08.197,15339-1700,BD-16 4112 ,138648, 76203,2007.4257,66.8,0.295, 1.68,550,40, ,HIP  76203,233.48665,-17.00228,10.6709,10.670925957673196,8.560000419616701,,7.473999977111816,7.217000007629394,7.138999938964844
642,15 37 11.4919,+05 25 44.481,15372+0526,BD+05 3044 ,139286, 76478,2007.3276,358.0,0.5660000000000001, 0.41,550,40, ,HIP  76478,234.29788,5.4290199999999995,,,,,,,
644,15 37 32.0068,+54 30 31.430,15375+5431,HR 5828    ,139778, 76509,2007.3248,42.0,0.948,     ,550,40, ,HIP  76509,234.38336,54.50873000000001,,,,,,,
646,15 37 55.3716,+50 04 55.952,15379+5005,BD+50 2204 ,139779, 76540,2007.3248,294.8,0.252, 1.92,550,40, ,HIP  76540,234.48071000000002,50.082209999999996,13.5232,13.523207247571607,8.409999847412111,8.199999809265138,7.160999774932861,6.874000072479247,6.809000015258789
650,15 38 17.5375,+48 42 16.355,15383+4842,BD+49 2413 ,      , 76575,2007.3276,66.0,0.41700000000000004, 3.93,550,40, ,HIP  76575,234.57307000000003,48.70454,9.2874,9.287445054686627,10.0,,8.621999740600586,8.23799991607666,8.170999526977539
653,15 38 54.5578,-19 18 06.825,15389-1918,BD-18 4118 ,139446, 76628,2007.4258,113.1,0.386, 3.44,550,40, ,HIP  76628,234.72732000000002,-19.3019,,,,,,,
654,15 39 26.4031,-13 54 40.221,15394-1355,BD-13 4216 ,139591, 76676,2007.4258,201.8,0.09699999999999999, 0.77,550,40,a,HIP  76676,234.86001000000002,-13.911170000000002,,,,,,,
655,15 40 28.3910,-18 41 46.216,15405-1842,BD-18 4125 ,139751, 76768,2007.4258,47.0,0.815,     ,550,40, ,HIP  76768,235.1183,-18.696170000000002,19.1348,19.134781270479568,6.755000114440918,,5.88100004196167,5.658999919891357,5.632999897003174
657,15 46 28.2136,+50 47 59.999,15465+5048,BD+51 2030 ,141373, 77263,2007.3276,143.4,0.077, 0.35,550,40,a,HIP  77263,236.61756,50.8,,,,,,,
