System number,Orbit number for that system,Period (d),error on P (d),Periastron time (JD-2400000),error on Periastron time,Flag on periastron time,eccentricity,error on eccentricity,argument of periastron (deg),error on omega,K1 (km/s),error on K1 (km/s),K2 (km/s),error on K2 (km/s),systemic velocity (km/s),error on V0 (km/s),rms RV1 (km/s),rms RV2 (km/s),RV1,RV2,Grade,Bibcode,Contributor,Accessibility,Reference adopted for the times (JD or MJD),Sp1,Sp2,radec,Simbad plx,GAIA plx,V,R,J,H,K,name
284,1,143.53,,44248.39599999999,,0,0.61,,205.9,,18.0,,,,40.6,,,,,,3.0,1986Obsnan106nan13T,DAO,PUB,JD,F5V,G8V,045149988+13391856,13.88,,4.400000095367432,,3.964999914169312,3.686000108718872,3.723999977111816,HD 30869
285,1,3057.0,,19973.0,,10,0.46,,227.0,,18.1,,,,-8.3,,9.58,,14.0,,2.0,1965ApJSnan11..429A,DAO,PUB,JD,A9IV,,045253670-05270970,6.1789,6.77755177911,9.56999969482422,,8.536999702453612,8.314000129699707,8.25100040435791,HD 31109
286,1,7.8638,,43749.95,0.019,10,0.0,,0.0,,37.9,0.4,51.2,1.7,18.34,0.33,1.2,2.7,,,3.0,1982A&Anan106..221G,DAO,PUB,MJD,F8,,045420636+17363292,1.1116,1.02518512891,10.390000343322754,,9.190999984741213,8.756999969482424,8.656999588012695,HD 31181
287,1,12.4199,,17149.287,,0,0.14,,341.0,,36.0,,,,-21.0,,,,,,1.0,1946ApJnan104..253S,DAO,PUB,JD,B9.7eV,G8III,050603203+80145228,3.8026,,3.7300000190734863,3.7899999618530273,4.189000129699707,4.3530001640319815,4.1599998474121085,GAIADR2 556832549897897984
288,1,3.7005,2e-05,17921.64,0.01,10,0.0,,0.0,,57.88,1.07,,,24.2,0.7,,,,,3.0,1913ApJnan.38..175L,DAO,PUB,JD,B2III,,045415096+02262642,8.77,,4.433,,4.375,4.465,4.396,HD 31237
289,1,3.8845,,18686.714,,10,0.0,,0.0,,35.8,,,,-9.5,,,,,,3.0,1971AJnan..76..544L,DAO,PUB,JD,A1V,,045717197+53450756,3.0355,6.226992969019999,8.119999885559082,,5.776999950408936,5.243000030517578,5.079999923706055,HD 31278
290,1,1051.0,,43978.0,,0,0.04,,193.0,,7.0,,,,-4.3,,,,,,3.0,1983ApJnan268..264M,DAO,PUB,JD,G9IIIBa3,,045903728+51563207,2.4144,,2.990000009536743,2.470000028610229,1.830000042915344,1.7020000219345093,1.4800000190734863,HD 31487
291,1,9890.0,,33346.0,,0,0.2,,346.4,,15.0,,,,-1.4,,,,,,2.0,1970VAnan..12..147W,DAO,PUB,JD,F0Iap,B,050158134+43492391,4.15,,3.75,2.619999885559082,1.100000023841858,0.3580000102519989,0.17000000178813934,HD 31964
292,1,972.1619999999999,,34585.74,,0,0.41,,336.0,,24.6,,31.4,,12.9,,,,,,3.0,1970VAnan..12..147W,DAO,PUB,JD,K4Ib,B6V,050228687+41043301,4.6513,,6.130000114440918,,4.414999961853027,3.766999959945679,3.615999937057495,HD 32069
293,1,80.1745,,21174.113999999998,,0,0.35,,72.5,,22.7,,,,0.6,,,,,,3.0,1969ApJnan157..717A,DAO,PUB,JD,K0III,,050612137+59011682,0.8357,1.0043891753299998,8.850000381469727,,8.588000297546388,8.619999885559082,8.61400032043457,HD 32357
294,1,1.5832,,36866.837,,0,0.06,,315.0,,197.0,,198.0,,10.0,,,,,,2.0,1974A&Anan.35..143M,DAO,PUB,JD,B5V,B5V,050503498+41171911,37.4269,,,4.8,3.9930000000000003,3.89,4.124,HD 32419
295,1,391.7,,18619.0,,10,0.37,,84.0,,5.8,,,,-7.4,,,,,,2.0,1965ApJSnan11..429A,DAO,PUB,JD,F0V,,050640631+51355179,11.1192,,5.119999885559082,,5.2280001640319815,5.2210001945495605,5.203000068664551,HD 32537
296,1,5.5227,,41384.13,,10,0.1,,161.0,,103.8,,100.7,,32.6,,,,,,4.0,1976PASPnan88..275Y,DAO,PUB,JD,B9.5V,B9.5Vp,050645653-04391859,5.417000000000001,,5.5,,5.252999782562256,5.302999973297119,5.2729997634887695,HD 32964
297,1,58.31,,24221.266,,0,0.19,,273.9,,36.7,,,,16.2,,,,,,3.0,1929PDAOnan.4..261H,DAO,PUB,JD,B2V,,050806623+24155463,0.8503,0.848998731161,8.60200023651123,,8.357999801635742,8.394000053405763,8.418000221252441,HD 32990
298,1,1.3327,,40148.4271,,1,0.0,,0.0,,175.4,,258.6,,0.8,,,,,,2.0,1986A&Anan162nan62W,DAO,PUB,JD,B2Vn,,050942230+39351089,18.7979,,5.429999828338623,5.25,4.9650001525878915,4.928999900817871,4.861000061035156,HD 33088
299,1,155.83,,39801.8,,0,0.67,,264.0,,8.2,,,,42.9,,,,,,2.0,1969ApJnan156..661C,DAO,PUB,JD,Am,,050919642+09494648,0.6676,1.18192106643,8.550000190734862,,8.430999755859375,8.470999717712402,8.541000366210938,HD 33254
300,1,1.2101,,45739.5929,,1,0.0,,0.0,,175.0,,323.0,,5.0,,,,,,2.0,1987MNRAS.224..649B,DAO,PUB,JD,B3V,B3V,051142927+42095528,4.1718,6.828955935340001,9.460000038146973,,8.289999961853027,8.031999588012695,7.973000049591064,HD 33357
301,1,0.4234,,26336.39,,10,0.0,,0.0,,95.0,,155.0,,35.0,,,,,,2.0,1944PASPnan56nan34S,DAO,PUB,JD,F8V,,051114502-08332466,3.3112,3.87618043989,8.850000381469727,,6.6599998474121085,6.110000133514403,5.9060001373291025,BD -08 1050
302,1,3683.0,,43823.5,,0,0.37,,352.0,,5.2,,,,-9.6,,,,,,3.0,1982Obsnan102..136G,DAO,PUB,MJD,K2III,,051243117+13222149,1.9706,2.39802755468,8.109999656677246,,8.130000114440918,8.13700008392334,8.164999961853027,HD 33708
303,1,1.2473,,39327.454,,10,0.0,,0.0,,70.0,,,,15.0,,,,,,2.0,N1967,DAO,PUB,JD,B7V,,051529746+46242146,9.32,,4.44,3.59,2.54,1.95,1.84,HD 33853
304,1,1031.4,,26182.46,,0,0.1,,17.9,,8.7,,,,40.5,,,,,,4.0,1957ApJnan125..696B,DAO,PUB,JD,K3III,,051317481+02514056,12.1306,,5.0,6.449999809265138,4.130000114440918,4.440000057220459,4.383999824523927,HD 33856
305,1,3.7887,,21207.866,,10,0.0,,0.0,,23.0,,,,-9.8,,,,,,3.0,1971AJnan..76..544L,DAO,PUB,JD,A9V,,051524393+32411536,76.2,,0.07999999821186066,-0.5199999809265137,-1.2899999618530271,-1.7200000286102295,-1.7799999713897705,HD 33959
306,1,104.0214,,32861.44,,10,0.0,,0.0,,26.1,,30.8,,29.5,,,,,,5.0,1985AJnan..90.1503S,DAO,PUB,JD,G5III,G0III,051641359+45595277,3.78,,0.12999999523162842,0.12999999523162842,0.2199999988079071,0.20000000298023224,0.18000000715255735,HD 34029
307,1,9.86,,29633.196,,0,0.1,,10.0,,25.0,,32.6,,19.1,,,,,,2.0,1942ApJnan.95..421S,DAO,PUB,JD,B9,,051432272-08120591,0.7856,1.2408742293600001,7.829999923706055,,7.478000164031982,7.540999889373778,7.510000228881836,Bayer $\beta$ Ori
308,1,4.0657,,30734.445,,0,0.05,,51.1,,226.1,,227.5,,-1.1,,,,,,2.0,1943PAASnan10..332P,DAO,PUB,JD,B3,B3,051821066+36375534,14.04,,,3.7999999523162837,2.190999984741211,1.4750000238418581,1.3860000371932983,HD 34333
309,1,434.8,,18690.0,,0,0.1,,40.0,,14.8,,,,-27.5,,,,,,2.0,1936ApJnan.83..433C,DAO,PUB,JD,K3III,,051810569+33221781,13.6003,13.5589364933,6.760000228881836,,5.85099983215332,5.670000076293945,5.589000225067139,HD 34334
310,1,3.4351,,40135.425,,1,0.0,,0.0,,94.4,,102.0,,-30.4,,,,,,4.0,1971ApJnan166..361P,DAO,PUB,JD,F7V,F5IV,051731153+20075463,6.7165,7.04738276209,6.144000053405763,,6.190000057220459,6.254000186920166,6.264999866485597,HD 34335
311,1,4.1346,,28102.679,,10,0.0,,0.0,,107.2,,116.0,,25.1,,,,,,4.0,1936PASPnan48nan24W,DAO,PUB,JD,B9V,B9V,051818899+33460245,5.5945,,5.206999778747559,,5.436999797821045,5.531000137329102,5.580999851226807,HD 34364
