System number,Orbit number for that system,Period (d),error on P (d),Periastron time (JD-2400000),error on Periastron time,Flag on periastron time,eccentricity,error on eccentricity,argument of periastron (deg),error on omega,K1 (km/s),error on K1 (km/s),K2 (km/s),error on K2 (km/s),systemic velocity (km/s),error on V0 (km/s),rms RV1 (km/s),rms RV2 (km/s),RV1,RV2,Grade,Bibcode,Contributor,Accessibility,Reference adopted for the times (JD or MJD),Sp1,Sp2,radec,Simbad plx,GAIA plx,V,R,J,H,K,name
2362,1,2122.9,8.0,46167.0,12.0,0,0.36,0.03,84.3,2.6,8.51,0.17,,,26.73,0.1,0.41,,19.0,0.0,5.0,1997A&Anan319..481M,PBX,PUB,JD,,,09484218-5622569,1.0658,,10.289999961853027,9.725000381469727,8.357000350952147,7.8499999046325675,7.699999809265138,Cl* NGC 3033 MMU 19
2363,1,3556.0,29.0,49476.0,68.0,0,0.19,0.02,105.2,6.9,4.09,0.09,,,-29.65,0.07,0.31,,23.0,0.0,5.0,1997A&Anan319..481M,PBX,PUB,JD,,,150414168-54254728,,,,,,,,Cl* NGC 5822 BOZ 3
2364,1,977.86,0.61,47946.53,0.65,0,0.728,0.005,220.93,0.9,18.08,0.21,,,-31.69,0.1,0.48,,25.0,0.0,5.0,1997A&Anan319..481M,PBX,PUB,JD,,,15051200-5421000,0.507,,11.770000457763672,,9.130000114440918,8.545000076293945,8.369000434875487,Misc NGC 5822 312
2365,1,702.7,1.2,48830.0,2.6,0,0.5,0.03,157.6,1.9,8.93,0.38,,,-27.0,0.11,0.4,,21.0,0.0,4.0,1997A&Anan319..481M,PBX,PUB,JD,,,16274414-4909484,0.9867,,11.279999732971193,,8.444000244140625,7.815000057220459,7.565999984741211,Cl* NGC 6134 BFK 722
2366,1,257.83,0.21,49259.8,1.7,0,0.42,0.01,326.2,2.5,8.87,0.22,,,-26.12,,0.39,,21.0,0.0,5.0,1997A&Anan319..481M,PBX,PUB,JD,,,16275584-4908109,1.0205,,10.8100004196167,,6.633999824523926,5.7129998207092285,5.401000022888184,Cl* Misc NGC 6134 PM 96
2367,1,739.31,0.63,48476.6,2.8,0,0.31,0.01,29.6,2.0,21.69,0.19,,,18.15,0.13,0.5,,21.0,0.0,5.0,1997A&Anan319..481M,PBX,PUB,JD,,,18363296-0815315,0.6187,1.3483751489700002,10.550000190734863,,10.109000205993652,10.133000373840332,10.097000122070312,Cl* NGC 6664 ARP E
2368,1,520.57,0.28,49178.9,3.8,0,0.153,0.008,48.6,2.8,21.12,0.21,,,14.26,0.12,0.49,,24.0,0.0,5.0,1997A&Anan319..481M,PBX,PUB,JD,,,09274309-5659021,2.8048,3.0978141028099997,9.149999618530273,8.800000190734863,8.041000366210938,7.7059998512268075,7.48199987411499,GAIADR2 5306634065070256256
2369,1,23.4877,0.0013,51072.558,0.09300000000000001,0,0.2501,0.0068,358.1,1.6,38.83,0.42,39.33,0.34,21.03,0.18,1.7,1.34,35.0,35.0,5.0,2004AJnan.127.1187T,TORRES,PUB,JD,G0,,051941408+05384277,36.8771,36.6782465796,,7.300000190734862,6.23199987411499,5.855000019073486,5.741000175476074,HD 34700
2370,1,2.130514,7e-05,45939.801,,0,0.0,,0.0,,37.7,0.2,,,-20.2,0.2,,,35.0,,,1988AJnan..95..215F,FKL,PUB,JD,G8V,,190732388+30151617,4.4974,4.227232680019999,7.260000228881836,,5.002999782562256,4.4660000801086435,4.249000072479248,HD 178450
2371,1,18.6651,0.0013,46585.94,0.67,0,0.059000000000000004,0.013999999999999999,118.9,13.0,21.87,0.28,,,-18.89,0.21,,,42.0,,,1989AJnan..97..202F,FKL,PUB,JD,K2III,,152225325+25372693,28.759,,8.029999732971191,,6.486000061035156,6.0939998626708975,5.9679999351501465,HD 136901
2372,1,6.86569,7e-05,46538.18,0.22,0,0.013999999999999999,0.003,0.1,11.4,57.5,0.2,57.7,0.3,1.2,0.1,,,32.0,32.0,,1988AJnan..96.1426F,FKL,PUB,JD,K0V,K0V,103602211-11544792,19.5354,,8.449999809265138,,7.011000156402588,6.629000186920166,6.546000003814697,HD 91816
2373,1,43.32145,0.00047000000000000004,51487.472,0.012,0,0.7612,0.001,174.13,0.21,54.5,0.17,60.64,0.24,30.666,0.062,,,27.0,27.0,,2004AJnan.127.2303F,FKL,PUB,JD,K0V,K2-3V,030232684-15162141,8.3,,4.236000061035156,,4.428999900817871,4.461999893188477,4.505000114440918,HD 18955
2374,1,2722.0,14.0,44852.0,29.0,11,0.0,,0.0,,4.33,0.25,,,14.98,0.25,,,76.0,,,1997AJnan.113.1088L,EVG,PUB,JD,B7IV,,024407350-13513131,,,,,,,,HD 17081
2375,1,8.33,0.003,51004.231,0.027000000000000003,1,0.0,,0.0,,61.2,1.4,,,-16.7,1.4,,,41.0,,,2000MNRAS.311..877M,EVG,PUB,JD,DA,,09425460+0635380,,,12.26,12.15,11.548,11.087,11.056,Misc PG 0940+068
2376,1,0.6027399999999999,6e-06,51241.155999999995,0.002,1,0.0,,0.0,,32.2,1.0,,,13.8,0.6,,,30.0,,,2000MNRAS.311..877M,EVG,PUB,JD,DA,,12500500+5506000,25.3423,,13.800000190734865,,14.729999542236328,14.800000190734865,15.170000076293945,Misc PG 1247+554
2377,1,0.1447864,2.5e-06,51077.407,0.0002,,0.0,,0.0,,135.4,1.3,94.5,3.8,-13.0,0.8,,,,,,2000MNRAS.314..334M,EVG,PUB,JD,DA,,17053100+4803060,1.1411,,13.81999969482422,,13.982999801635742,13.968000411987305,14.038000106811525,Misc EGGR 577
2378,1,0.095111,,51651.6466,0.0001,,0.0,,0.0,,349.3,2.7,,,-13.9,2.2,,,,,,2000MNRAS.317L..41M,EVG,PUB,JD,sdB,,19321481+2758355,0.9886,,10.170000076293944,,9.600000381469727,9.524999618530273,9.55500030517578,GCVS V2214 Cyg
2379,1,2.6285372000000002,8e-07,48057.852999999996,0.003,0,0.1575,0.0007,214.6,0.4,143.5,1.6,160.6,2.4,-29.1,1.3,5.7,8.3,20.0,20.0,,1997AJnan.113.1091L,EVG,PUB,JD,B5,B6,184435861-19232271,2.4949,2.05358137012,9.81999969482422,,9.538999557495117,9.482000350952148,9.44200038909912,HD 173140
2380,1,1.91947659,1.5e-07,47738.6113,0.0003,0,0.2194,0.0004,254.76,0.06,118.1,2.3,159.6,1.8,-9.4,2.0,6.1,4.9,12.0,12.0,,1997AJnan.113.1091L,EVG,PUB,JD,B9.5,A2,190815026-31205494,1.5461,,9.56999969482422,,9.18000030517578,9.163000106811523,9.098999977111816,HD 177994
2381,1,2.805399,,45204.477,0.0004,11,0.0,,0.0,,110.0,0.7,124.2,0.8,-24.5,0.6,2.7,3.1,22.0,22.0,,1997AJnan.114.2140L,EVG,PUB,JD,A0,A2,193553191+28164425,0.5342,0.305139135563,6.230000019073486,,6.110000133514403,6.165999889373778,6.15399980545044,BD +27 3441
2382,1,32.514,,48178.200999999994,,,0.6,,356.0,,9.0,,,,11.0,,,,,,,1992SvALnan18nan58A,EVG,PUB,JD,O7.5Ia,,195221765+18401875,0.7509,0.342952833561,7.550000190734862,,6.743000030517577,6.7249999046325675,6.696000099182129,HD 188001
2383,1,5.48,0.006,45922.469000000005,,11,0.19,0.11,333.0,40.0,16.8,2.4,,,-54.5,2.7,,,52.0,,,1993AstLnan19..420B,EVG,PUB,JD,O5e,,201233120+40160545,,0.7022400447239999,10.64,10.44,,,,HD 192281
2384,1,15.337909,1.8000000000000001e-06,44889.124,0.001,0,0.479,0.004,262.82,0.05,80.4,1.3,80.5,1.4,-14.9,1.0,3.9,3.9,16.0,16.0,,1998AJnan.115..801L,EVG,PUB,JD,B9.5,B9.5,194229454+31194020,4.17,,4.639999866485597,4.480000019073486,5.304999828338623,5.364999771118164,5.35099983215332,HD 331102
2385,1,84.07,0.02,50318.5,13.2,0,0.0,,0.0,,16.7,0.2,101.4,0.2,-4.9,0.1,6.0,14.4,80.0,80.0,,2002ApJnan573..812B,EVG,PUB,JD,B1Ve,,222516623+01223864,6.6433,,4.9790000915527335,,4.72599983215332,5.307000160217285,5.296000003814697,HD 212571
1921,1,18.01335,0.00014,48921.37,0.055,0,0.1971,0.0031,247.9,1.0,17.938,0.062,,,55.662,0.042,,,36.0,,,2004AJnan.127.2931F,FKL,PUB,JD,G8IV-V,,011306069+41391549,5.2504,,7.679999828338622,,7.327000141143799,7.2940001487731925,7.2750000953674325,HD 7205
2386,1,251.5,0.6,49373.5,1.7,0,0.48,0.03,191.8,2.9,28.5,2.0,,,-21.9,0.4,,,36.0,,,1997PASP..109..221G,PBX,PUB,JD,B7V,,153922673+36380892,1.1209,0.7725984101379999,6.334000110626222,,5.617000102996826,5.64300012588501,5.620999813079834,HD 139892
2387,1,99.6918,0.0223,41906.392,1.975,0,0.147,0.008,69.76,0.34,31.21,0.81,47.05,0.36,-15.1,0.32,,,4.0,21.0,,1998AJnan.115.2561G,PBX,PUB,JD,B2III,,204313683+57065039,,,13.39,13.9,13.92,13.96,14.0,HD 197770
2388,1,33.95,,46448.54,,0,0.41,,41.0,,100.0,,,,189.0,,,,30.0,,1.0,1991IAUS..143..201N,MOR,PUB,JD,WN3,,05293321-7059349,0.2336,0.522773796939,10.100000381469727,10.170000076293944,8.569999694824219,8.321999549865723,7.927999973297119,Misc BAT99 49
2389,1,38.4,,44659.6,,0,0.0,,0.0,,250.0,,,,-123.8,,,,,,1.0,1991IAUS..143..201N,MOR,PUB,JD,WRe,,074458222-31542956,0.4707,-0.7759842910349999,11.8100004196167,11.420000076293945,8.090999603271483,7.550000190734862,7.045000076293945,HD 62910
2390,1,48.7,,45258.0,,0,0.0,,0.0,,72.0,,,,50.0,,,,,,1.0,1991IAUS..143..201N,MOR,PUB,JD,WN8o/C7,,173713748-33275598,0.4252,0.167260122467,10.720000267028807,10.649999618530273,8.501999855041504,8.215000152587889,8.008999824523926,GAIADR2 4053745100746865152
2391,1,12.6,,44839.8,,0,0.0,,0.0,,58.0,,111.0,,-48.0,,10.0,27.0,,,1.0,1995IAUS..163..223N,MOR,PUB,JD,WN5b,O7,173653620-34023675,0.3501,0.47414184296800005,10.93000030517578,11.029999732971193,10.199000358581543,10.079000473022461,9.833999633789062,CD -33 12259
2392,1,0.311274,,49143.7,,0,0.0,,0.0,,173.0,,,,4.0,,,,,,1.0,1995IAUS..163..245N,MOR,PUB,JD,WN3p,,120518719-62031014,0.1187,,12.359999656677244,12.050000190734865,9.909000396728516,9.45699977874756,9.123000144958496,HD 104994
2393,1,3.16415,0.0005,50540.13,0.03,0,0.0,,270.0,,240.0,,,,24.0,,15.0,,52.0,,2.0,2000A&Anan362..973N,MOR,PUB,JD,WN7,,10504629-6028413,,,11.95,,12.482000000000001,12.552999999999999,12.600999999999999,Misc LS 1964
2394,1,2.001185,,46506.337999999996,0.01,0,0.0,,90.0,,320.0,7.0,,,278.0,6.0,32.0,,39.0,0.0,1.0,2001A&Anan369..544N,MOR,PUB,JD,O3f*,,04551487-6711231,,,13.015999999999998,,13.43,13.42,13.42,GAIADR2 4661730461966674304
2395,1,19.56,0.0005,47480.7,0.8,0,0.07,0.02,101.0,16.0,194.0,4.0,,,172.0,3.0,23.0,,68.0,0.0,1.0,2002MNRAS.333..347N,MOR,PUB,JD,WN2,O6,01033590-7203219,3.0379,2.60126250407,9.09000015258789,,8.487000465393066,8.411999702453612,8.371999740600586,Misc AzV 336a
2396,1,11.415,1e-05,47995.82,0.03,0,0.04,0.01,10.0,21.0,62.0,1.0,71.0,1.0,-11.3,0.6,3.0,2.0,17.0,14.0,3.0,1991ApJnan378..157M,MOR,PUB,JD,A1V,A2V,174534842+05253549,2.0269999999999997,,7.507999897003174,,7.4689998626708975,7.517000198364258,7.519000053405763,HD 161481
2397,1,6.2013,0.0006,48049.81,0.04,0,0.207,0.009000000000000001,278.0,2.0,78.5,0.9,80.9,0.9,-12.7,0.5,3.2,,27.0,23.0,4.0,1991ApJnan378..157M,MOR,PUB,JD,B6V,B6V,174843375+05420456,5.4674,5.369672560540001,7.6599998474121085,,7.459000110626222,7.453999996185303,7.456999778747559,HD 162028
2398,1,21.21,0.02,47272.0,0.4,0,0.0,0.1,0.0,7.0,13.0,1.0,,,3.0,1.0,5.4,,15.0,,2.0,1992ApJnan393..666M,MOR,PUB,JD,A1Vn,,031947256+48374051,5.6379,6.35803325816,7.25,,7.078000068664551,7.136000156402588,7.105000019073486,HD 20487
2399,1,21.221999999999998,0.006999999999999999,47512.4,0.2,0,0.74,0.08,183.0,8.0,21.0,6.0,,,4.0,1.0,4.0,,18.0,,1.0,1992ApJnan393..666M,MOR,PUB,JD,B8V,,032755780+47440935,6.7622,5.054832795519999,7.46999979019165,,7.185999870300293,7.152999877929688,7.117000102996826,HD 21279
2400,1,30.9,0.09,43765.8,2.8,0,0.6,0.1,125.0,19.0,19.0,3.0,,,1.5,1.4,3.8,,15.0,0.0,1.0,1992ApJnan393..666M,MOR,PUB,JD,A1Vn,,032853654+49041317,4.3402,,5.47599983215332,,5.499000072479248,5.576000213623047,5.586999893188477,HD 21375
2401,1,36.5,0.1,47531.7,0.1,0,0.3,0.2,312.0,9.0,20.0,3.0,,,4.0,2.0,5.2,,16.0,0.0,1.0,1992ApJnan393..666M,MOR,PUB,JD,B7V,,031747353+44013009,5.11,,2.890000104904175,2.9600000381469727,3.359999895095825,3.595000028610229,3.5199999809265137,HD 20315
2402,1,2.4826,0.0001,48130.6,0.1,0,0.22,0.07,118.0,20.0,42.0,3.0,52.0,5.0,-1.0,2.0,14.3,15.7,18.0,9.0,1.0,1992ApJnan393..666M,MOR,PUB,JD,B0.5III,,035751231+40003677,27.7319,,8.397000312805176,7.800000190734862,6.627999782562256,6.151000022888184,6.026000022888184,HD 24760
2403,1,11.005,0.003,45004.0,0.07,0,0.0,,0.0,,25.4,0.6,,,-57.8,0.5,,,12.0,,,1987A&Anan171..157M,EVG,PUB,JD,,,160553407+10410604,3.0215,3.28885208167,6.960000038146973,,5.785999774932861,5.361999988555908,5.138000011444092,HD 144515
2404,1,24.615,0.002,46948.21,2.78,0,0.0,,0.0,,84.1,1.0,,,-22.9,0.8,,,28.0,,,1990PASP..102..312D,EVG,PUB,JD,FIII,B8V,143040465-22273930,6.6448,5.858756476930001,6.820000171661378,,5.0920000076293945,4.370999813079834,4.2170000076293945,HD 127208
2405,1,53.58,0.02,44334.8,3.8,0,0.0,,328.4,25.6,26.2,0.5,,,26.9,0.3,,,57.0,,,1991AJnan.102.1808H,EVG,PUB,JD,G5,B8V,054126789+03464094,,,,,,,,HD 37824
2406,1,83.9,0.08,47710.0,2.0,0,0.35,0.05,214.0,10.0,0.59,0.04,,,49.27,0.02,0.5,,495.0,,,1996ApJnan466..415M,EVG,PUB,JD,F9V,,131219743+17310164,,,,,,,,HD 114762
2407,1,1481.0,22.0,49353.0,76.0,0,0.33,0.15,104.0,22.0,1.02,0.16,,,112.29,0.08,0.72,,81.0,,,1996ApJnan466..415M,EVG,PUB,JD,G2V,,044136318+42070649,22.6818,,,8.0,6.8470001220703125,6.380000114440918,6.244999885559082,HD 29587
2408,1,1564.4,12.8,48396.5,392.8,0,0.054000000000000006,0.064,146.4,89.8,6.39,0.67,,,-15.3,0.3,,,72.0,,,1999A&AS..137..369F,EVG,PUB,JD,G8V,,001230312+14334868,22.6818,,,8.0,6.8470001220703125,6.380000114440918,6.244999885559082,BD +13 13
2409,1,1.8441701000000001,1.2e-06,46347.832,0.508,0,0.0025,0.0042,41.4,99.3,62.38,0.25,90.51,0.99,0.0,,,,76.0,43.0,,1999A&AS..137..369F,EVG,PUB,JD,G8V,,001230312+14334868,6.1024,6.328612004369999,7.420000076293945,,5.488999843597412,5.027999877929688,4.824999809265137,BD +13 13
2410,1,20.869320000000002,0.00043,49306.111,0.175,0,0.0712,0.0033,261.1,3.1,12.661,0.040999999999999995,,,-48.378,0.036000000000000004,,,38.0,,,1999A&AS..137..369F,EVG,PUB,JD,K0,,051831097+75564930,6.8862,5.72204279358,8.710000038146973,,6.701000213623048,6.10099983215332,5.978000164031982,HD 33363
2411,1,2226.6,12.1,49833.4,30.8,0,0.474,0.051,113.5,7.8,3.68,0.29,,,-0.66,0.12,,,154.0,,,1999A&AS..137..369F,EVG,PUB,JD,K0,,121320694-09044688,6.8862,5.72204279358,8.710000038146973,,6.701000213623048,6.10099983215332,5.978000164031982,HD 106225
2412,1,10.387552000000001,3.1e-05,49993.195,0.602,0,0.0093,0.0033,264.7,20.9,45.66,0.16,,,0.0,,,,154.0,,,1999A&AS..137..369F,EVG,PUB,JD,K0,,121320694-09044688,3.3576,1.7159911430099999,8.489999771118164,,6.452000141143799,5.916999816894531,5.76800012588501,HD 106225
2413,1,314.47,0.18,48215.6,29.6,0,0.0236,0.0091,77.1,34.1,14.32,0.15,,,-36.75,0.13,,,39.0,,,1999A&AS..137..369F,EVG,PUB,JD,K0,,165256007-26450235,5.9347,6.14326962529,7.489999771118164,,5.434999942779541,4.8979997634887695,4.742000102996826,HD 152178
2414,1,22.62293,0.0009699999999999999,49252.390999999996,0.038,0,0.0,,0.0,,16.24,0.12,,,10.16,0.081,,,98.0,,,1999A&AS..137..369F,EVG,PUB,JD,G8,,215514459+44250691,8.4882,,7.369999885559082,8.140000343322754,6.46999979019165,6.199999809265138,6.1599998474121085,HD 208472
2415,1,1.9180580000000003,6e-06,47557.51,0.05,0,0.043,0.008,347.0,9.0,61.1,0.6,69.9,1.0,-27.3,0.3,,,17.0,15.0,,1990AJnan..99..373W,FKL,PUB,JD,F6V,F9V,233026340+30495433,8.4882,,7.369999885559082,8.140000343322754,6.46999979019165,6.199999809265138,6.1599998474121085,HD 221264
2416,1,13.0425,0.0002,47545.72,0.08,0,0.326,0.016,334.4,1.9,40.8,1.0,42.4,1.7,-32.3,0.4,,,52.0,52.0,,1990AJnan..99..373W,,PUB,JD,F7V,F8V,233026340+30495433,13.3909,14.345342742,6.739999771118164,,4.8470001220703125,4.186999797821045,4.125,HD 221264
2417,1,13.046773,6.4e-05,49248.005,0.273,0,0.0403,0.0053,52.8,7.5,9.887,0.054000000000000006,,,-13.872,0.037000000000000005,,,54.0,0.0,5.0,2005AJnan.129.1669F,FKL,PUB,JD,K0III-IV,,192240300-20383448,6.4912,6.98925863755,,,5.5879998207092285,5.0920000076293945,4.877999782562256,HD 181809
2418,1,47.120870000000004,0.0006900000000000001,48622.950999999994,0.065,0,0.4703,0.0041,358.65,0.74,10.347000000000001,0.055,,,-20.554000000000002,0.038,,,83.0,,5.0,2005AJnan.129.1669F,FKL,PUB,JD,K0III,,225852921-00185738,3.9759,,,,14.185999870300293,13.871000289916992,13.612000465393065,HD 217188
2419,1,0.07332000000000001,2.9999999999999997e-05,50450.8889,0.001,0,0.0,,0.0,,53.0,5.0,,,25.0,3.0,22.0,,70.0,,,1997PASP..109.1241T,LEITON,PUB,JD,,,08591984-2428554,1.8992,,,,16.517000198364258,16.082000732421875,15.62399959564209,GCVS VZ Pyx
2420,1,0.07352,5e-05,50450.7504,0.0011,0,0.0,,0.0,,60.0,6.0,,,8.0,4.0,24.0,,47.0,,,1997PASP..109.1241T,LEITON,PUB,JD,,,08361915+2121053,0.8226,,13.5,,15.92300033569336,15.6899995803833,15.489999771118164,GCVS CC Cnc
2421,1,0.2391,0.0005,50451.754,0.003,0,0.0,,0.0,,70.0,5.0,,,-20.0,4.0,18.0,,42.0,,,1997PASP..109.1241T,LEITON,PUB,JD,,M1,04223811-1321302,3.7893,,,,13.958000183105467,13.392000198364258,13.118000030517578,GCVS AH Eri
2422,1,0.17544400000000002,2e-06,51639.7667,0.0005,0,0.0,,0.0,,116.0,5.0,,,-18.0,4.0,19.0,,42.0,,,2000PASP..112.1269T,LEITON,PUB,JD,,,09095055+1849475,4.789,,16.870000839233402,16.5,14.71399974822998,14.29800033569336,13.887999534606935,GCVS GY Cnc
2423,1,0.10546199999999999,6e-06,52079.791,0.003,1,0.0,,0.0,,128.0,11.0,,,10.0,8.0,48.0,,105.0,,,2002PASP..114nan74T,LEITON,PUB,JD,,,15541235+2721524,,,,,,,,Misc AAVSO 1550+27
2424,1,0.14286094,0.0004,50630.71,0.002,0,0.0,,0.0,,111.0,12.0,,,-40.0,8.0,36.0,,48.0,,,2000A&Anan358..600T,LEITON,PUB,JD,,,19105941+2856387,4.1283,,,,13.310999870300293,12.822999954223633,12.625,Misc 1RXS J191053.2+285622
2425,1,0.16249,8e-05,47843.8115,0.0015,0,0.0,,0.0,,140.0,9.0,,,44.0,6.0,42.0,,89.0,,,1997PASP..109..483T,LEITON,PUB,JD,,,01370878+5057203,3.9883,,11.0,,14.100000381469727,13.199999809265135,13.0,GCVS KT Per
2426,1,0.06489,0.00014,50001.9922,0.0012,0,0.0,,0.0,,29.0,4.0,,,6.0,3.0,15.0,,72.0,,,1997PASP..109.1359T,LEITON,PUB,JD,,,02100830+5711208,7.2357,,,,15.277999877929688,14.854999542236328,14.588000297546387,GCVS UV Per
2427,1,0.06309,4e-05,50357.8018,0.0009,0,0.0,,0.0,,49.0,4.0,,,-25.0,3.0,15.0,,37.0,,,1997PASP..109.1359T,LEITON,PUB,JD,,,21120926-0849368,1.8973,,,,16.110000610351562,15.911999702453613,15.401000022888185,GCVS VY Aqr
2428,1,0.06951,5e-05,50358.7531,0.0014,0,0.0,,0.0,,57.0,7.0,,,-88.0,5.0,26.0,,48.0,,,1997PASP..109.1359T,LEITON,PUB,JD,,,19285647+4305371,8.8661,,,,16.19099998474121,15.586000442504885,15.392999649047852,GCVS V1504 Cyg
2429,1,0.053320000000000006,2e-05,51340.6713,0.0007,0,0.0,,0.0,,38.0,3.0,,,-17.0,2.0,16.0,,88.0,,,2002PASP..114.1108T,LEITON,PUB,JD,,,15195535-2500245,3.4058,,,16.200000762939453,16.76300048828125,16.284000396728516,16.077999114990234,GCVS GW Lib
2430,1,0.054643,7.000000000000001e-06,50631.6226,0.001,0,0.0,,0.0,,97.0,11.0,,,-38.0,8.0,47.0,,160.0,,,2002PASP..114.1108T,LEITON,PUB,JD,,,16250181+3909258,2.6763,,13.90999984741211,14.909000396728516,13.605999946594238,13.454000473022461,13.494999885559082,GCVS V844 Her
2431,1,0.06366000000000001,2.9999999999999997e-05,49740.0637,0.0008,0,0.0,,0.0,,48.0,4.0,,,-31.0,3.0,21.8,,,,,1997PASP..109..477T,LEITON,PUB,JD,CV,,09471194+5154089,2.8442,,,,13.81700038909912,13.781000137329102,13.675000190734865,GCVS ER UMa
2432,1,0.06217801,1.3e-06,49689.969,,0,0.0,,0.0,,40.0,6.0,,,47.0,4.0,37.8,,,,,1997PASP..109..477T,LEITON,PUB,JD,,,05285957-0333523,2.2785,,11.0,,14.58899974822998,13.996000289916992,13.729999542236328,GCVS V1159 Ori
2433,1,0.16302,0.00032,50005.7739,0.0021,1,0.0,,0.0,,91.0,7.0,,,-5.0,5.0,30.0,,36.0,,,1996PASP..108..894T,LEITON,PUB,JD,?p...,,01450327+3756334,2.3033,,,,12.723999977111815,12.58899974822998,12.45699977874756,GCVS AR And
2434,1,0.1649,1e-05,49720.3524,0.0019,1,0.0,,0.0,,76.0,5.0,,,-4.0,4.0,31.0,,72.0,,,1996PASP..108..894T,LEITON,PUB,JD,,,02262338+7118315,1.9896,,,,14.800999641418455,14.522000312805176,14.194000244140625,GCVS AM Cas
2435,1,0.1548,0.00016999999999999999,50001.0604,0.0019,1,0.0,,0.0,,98.0,7.0,,,-4.0,5.0,41.0,,69.0,,,1996PASP..108..894T,LEITON,PUB,JD,,,02500015+3739222,2.1978,,12.789999961853027,,12.293999671936035,12.255999565124512,12.189000129699707,GCVS PY Per
2436,1,0.11506300000000001,1e-06,50707.922999999995,0.001,1,0.0,,0.0,,52.0,4.0,,,-31.0,3.0,39.0,,,,,1998PASP..110.1148T,LEITON,PUB,JD,B+...,,00205222+5542163,3.4804,,12.1,12.18,11.675,11.587,11.494000000000002,GCVS V592 Cas
2437,1,0.174774,3e-06,50358.9838,0.0009,1,0.0,,0.0,,593.0,21.0,,,-56.0,14.0,183.0,,179.0,,,1999PASP..111..184T,LEITON,PUB,JD,,,21515794+1406535,5.4408,,,,18.632999420166016,,,GAIADR2 1768858645653683200
2438,1,0.05994,0.00013000000000000002,50895.891,0.0023,1,0.0,,0.0,,71.0,16.0,,,-25.0,12.0,60.0,,,,,1998PASP..110.1290P,LEITON,PUB,JD,,,08430404+2751499,1.2912,,,,13.621999740600586,13.428999900817873,13.237000465393065,GCVS EG Cnc
2439,1,0.1444644,3e-07,50642.02,0.003,1,0.0,,0.0,,90.0,9.0,,,-21.0,6.0,54.0,,132.0,,,2001PASP..113nan72P,LEITON,PUB,JD,,,20521278+4419261,7.7431,7.85228401758,9.194000244140623,,7.366000175476074,6.823999881744385,6.672999858856201,GCVS V751 Cyg
2440,1,3.87192,8.8e-05,50540.365,0.005,0,0.0,,0.0,,38.6,0.36,,,35.7,0.26,1.5,,43.0,,,2000A&Anan357..608S,LEITON,PUB,JD,K0-2IV,,060240363-00513725,3.3127,3.5204816226899998,7.0,,5.323999881744385,4.888000011444092,4.7719998359680185,HD 291095
2441,1,3770.0,,49572.0,,0,0.6,0.07,272.0,10.0,7.0,0.3,,,-18.7,0.3,1.7,,51.0,,,1998A&Anan336..587S,LEITON,PUB,JD,G8+-0.5IIIa-IIb,,070415054+75244059,4.6852,,11.279999732971193,,10.279000282287598,9.840999603271484,9.70699977874756,HD 51066
2442,1,0.388081,,50489.9781,0.0015,1,0.0,,0.0,,140.8,2.0,206.4,3.7,-20.1,1.8,7.7,17.2,26.0,26.0,,2000MNRAS.315..587R,LEITON,PUB,JD,,,12073436-1308591,0.4876,,9.699999809265137,9.460000038146973,,,,BD -12 3565
2443,1,1.6585318,4.5e-06,47974.0557,0.0018,1,0.0,,0.0,,182.1,4.9,257.4,5.8,-13.4,3.5,24.6,19.0,25.0,25.0,,1992AJnan.103..573R,LEITON,PUB,JD,B1V,B6.5III,11475690-6033550,3.4423,,9.512999534606934,,8.590000152587889,8.357999801635742,8.279000282287598,HD 102552
2444,1,0.71181663,7e-08,48213.7071,0.0022,0,0.0,,0.0,,109.0,2.1,185.2,2.4,43.8,2.0,11.3,,27.0,27.0,,1992AcAnan.42nan73L,LEITON,PUB,JD,F0IVn,,233214669+14580873,12.445,12.6855454334,8.670000076293945,,7.435999870300293,7.1500000953674325,7.0920000076293945,BD +14 5006
2445,1,0.34490940000000003,,48187.5187,0.0007,1,0.0,,0.0,,91.8,1.5,231.7,1.6,24.4,1.3,7.7,,28.0,28.0,,1993AJnan.105..646L,LEITON,PUB,JD,G0,,055013125+26574337,11.71,,1.25,1.3799999952316284,1.7999999523162842,1.919999957084656,1.9900000095367432,HD 248087
2446,1,1828.0,2.5,49879.0,38.0,0,0.38,0.09,293.0,9.0,5.9,0.8,,,10.3,0.2,0.44,,33.0,,3.0,1998A&Anan329..137A,PBX,PUB,JD,B0.5IV,,124743263-59411955,17.3764,17.135732713499998,8.590000152587889,,7.125999927520753,6.7059998512268075,6.6570000648498535,HD 111123
2447,1,1.67140121,6.5e-07,52182.0226,0.0006,0,0.0,,0.0,,89.52,0.15,105.1,0.15,4.341,0.083,,,21.0,21.0,,2005AJnan.130..794F,FKL,PUB,JD,G5V,K0V,160147460+51205205,5.7861,5.685698723840001,8.029999732971191,,7.326000213623048,7.168000221252441,7.138999938964844,HD 144110
2448,1,0.65627696,5.3e-07,50576.8561,0.0012,1,0.0,,0.0,,17.58,0.29,82.24,1.02,-23.53,0.21,1.8,6.4,67.0,67.0,,1999IBVS.4821nan.1T,TORRES,PUB,JD,F0,,21365385+3343065,22.27,,8.912,9.257,6.397,5.7589999999999995,5.587000000000001,HD 205798
