Seq|Star|RAJ2000|DEJ2000|Dist|n_Dist|Age|Hmag|SpType|MA|l_MB|MB|l_rho|rho|l_Per|Per|x_Per|l_Ecc|Ecc|l_acrit|acrit|Ref|SimbadName
 67|HIP 63742                |13 03 49.650|-05 09 42.50| 21.69| | 149| 5.670|G5V       | 0.840| | 0.510|  | 0.03400| |  216.900|  | | 0.300|  | 2.430|GDPS,H10, SONG         |HIP 63742
 68|HIP 63962                |13 06 27.400|-56 52 44.83|236.40| |  17| 7.880|G0        | 1.360|~| 1.300|~ | 0.03000| |         |  | |      |~ |26.000|JL13                   |HIP 63962
 69|2MASS J13215631-1052098  |13 21 56.300|-10 52 09.80| 40.00| |  11| 8.820|M4.5      | 0.150| | 0.075|<=| 0.11000| |         |  | |      |<=|16.800|L15                    |2MASS J13215631-1052098
 70|HIP 66001                |13 31 53.620|-51 13 33.20|152.40| |  17| 8.010|G8        | 1.230|~| 1.200|~ | 0.03000| |         |  | |      |~ |17.000|JL13                   |HIP 66001
 71|HIP 72399                |14 48 09.650|-36 47 02.00| 46.10| | 500| 7.485|K3V(e)    | 0.750| | 0.370|  |        | |         |  | |      |< |10.000|NLP                    |HIP 72399
 72|HIP 74045                |15 07 56.300|+76 12 02.70| 28.79| |  50| 6.330|G5        | 0.960| | 0.590|  | 0.30200| |         |  | |      |  |33.100|B07; L05; GDPS         |HIP 74045
 73|HIP 76267                |15 34 41.270|+26 42 52.89| 23.00| | 500| 2.390|B9.5IV+G  | 2.580| | 0.920|  |        | |   17.360|  | | 0.370|  | 0.710|J13                    |HIP 76267
 74|1RXS J153557.0-232417    |15 35 57.800|-23 24 04.60|145.00| |  11| 9.600|K3        | 0.990| | 0.100|  | 0.05468| |         |  | |      |  |29.700|L14                    |1RXS J153557.0-232417
 75|HIP 76629                |15 38 57.540|-57 42 27.34| 38.54| |  24| 9.450|K0V       | 1.120|~| 0.110|  |        |~|    4.500|yr|~| 0.500|~ |10.900|BN13                   |HIP 76629
 76|HIP 77858                |15 53 53.920|-24 31 59.20|128.87| |  11| 5.380|B5V       | 4.200| | 0.500|  |        | |    1.920|  | | 0.360|  | 0.170|L14                    |HIP 77858
 77|HIP 78104                |15 56 53.070|-29 12 50.80|144.72| |  11| 4.520|B2IV-V    | 7.800| | 0.480|  |        | |    4.000|  | | 0.270|  | 0.300|L14                    |HIP 78104
 78|RX J155734.4-232112      |15 57 34.310|-23 21 12.30|145.00| |  11| 9.230|M1V       | 0.600| | 0.320|  | 0.05385| |         |  | |      |  |30.000|L14                    |RX J155734.4-232112
 79|HIP 78168                |15 57 40.460|-20 58 59.20|141.24| |  11| 5.770|B3V       | 5.900| | 2.120|  |        | |   10.000|  | | 0.580|  | 0.730|L14                    |HIP 78168
 80|HIP 78196                |15 57 59.350|-31 43 44.15|126.70| |  11| 7.120|A0V       | 2.460| | 0.100|  | 0.07400| |         |  | |      |  |34.400|L14                    |HIP 78196
 81|HIP 78207                |15 58 11.360|-14 16 45.50|143.47| |  11| 4.830|B8Ia/Iab  | 2.900| | 2.900|  |        | |         |  | |      |< | 5.000|L14                    |HIP 78207
 82|HIP 78265                |15 58 51.110|-26 06 50.70|179.53| |  11| 3.500|B1V+B2V   |10.000| | 6.330|  |        | |    1.570|  | | 0.000|  | 0.160|L14                    |HIP 78265
 83|1RXS J160210.1-2241.28   |16 02 10.450|-22 41 28.00|145.00| |  11| 8.260|K5IV      | 0.870| | 0.480|  |        | |    2.400|  | | 0.024|  | 0.098|L14                    |1RXS J160210.1-2241.28
